,document,clause,severity,a,ch,cr,j,law,ltd,ter,use
103,Spotify,"IF YOU DO NOT WANT TO CONTINUE TO BE CHARGED ON A RECURRING MONTHLY BASIS, YOU MUST CANCEL THE APPLICABLE PAID SUBSCRIPTION THROUGH YOUR SPOTIFY ACCOUNT’S SUBSCRIPTION PAGE OR TERMINATE YOUR SPOTIFY ACCOUNT BEFORE THE END OF THE RECURRING MONTHLY PERIOD.",0,0,0,0,0,0,0,0,0
104,Spotify,"PAID SUBSCRIPTIONS CANNOT BE TERMINATED BEFORE THE END OF THE PERIOD FOR WHICH YOU HAVE ALREADY PAID, AND EXCEPT AS EXPRESSLY PROVIDED IN THESE TERMS, SPOTIFY WILL NOT REFUND ANY FEES THAT YOU HAVE ALREADY PAID.",0,0,0,0,0,0,0,0,0
105,Spotify,THE LIMITATION SECTION SETS FORTH ADDITIONAL TERMS REGARDING CANCELLATION OF YOUR PAID SUBSCRIPTION.,0,0,0,0,0,0,0,0,0
106,Spotify,4 Rights we grant you,0,0,0,0,0,0,0,0,0
107,Spotify,The Spotify Service and the Content are the property of Spotify or Spotify's licensors.,0,0,0,0,0,0,0,0,0
108,Spotify,"We grant you a limited, non-exclusive, revocable licence to make use of the Spotify Service, and a limited, non-exclusive, revocable licence to make personal, non-commercial, entertainment use of the Content (the “Licence”).",0,0,0,0,0,0,0,0,0
109,Spotify,This Licence shall remain in effect until and unless terminated by you or Spotify.,0,0,0,0,0,0,0,0,0
110,Spotify,"You promise and agree that you are using the Content for your own personal, non-commercial, entertainment use and that you will not redistribute or transfer the Spotify Service or the Content.",0,0,0,0,0,0,0,0,0
111,Spotify,"The Spotify software applications and the Content are licensed, not sold, to you, and Spotify and its licensors retain ownership of all copies of the Spotify software applications and Content even after installation on your personal computers, mobile handsets, tablets, and/or other relevant devices (“Devices”).",0,0,0,0,0,0,0,0,0
112,Spotify,"All Spotify trademarks, service marks, trade names, logos, domain names, and any other features of the Spotify brand (“Spotify Brand Features”) are the sole property of Spotify or its licensors.",0,0,0,0,0,0,0,0,0
113,Spotify,The Agreements do not grant you any rights to use any Spotify Brand Features whether for commercial or non-commercial use.,0,0,0,0,0,0,0,0,0
114,Spotify,"You agree to abide by our User guidelines and not to use the Spotify Service, the Content, or any part thereof in any manner not expressly permitted by the Agreements.",0,0,0,0,0,0,0,0,0
115,Spotify,"Except for the rights expressly granted to you in these Agreements, Spotify grants no right, title, or interest to you in the Spotify Service or Content.",0,0,0,0,0,0,0,0,0
116,Spotify,"Third party software (for example, open source software libraries) included in the Spotify Service are licensed to you either under the Agreements or under the relevant third party software library’s licence terms as published in the help or settings section of our desktop and mobile client and/or on our website.",0,0,0,0,0,0,0,0,0
117,Spotify,5 Third Party Applications,0,0,0,0,0,0,0,0,0
118,Spotify,"The Spotify Service is integrated with third party applications, websites, and services (“Third Party Applications”) to make available content, products, and/or services to you.",0,0,0,0,0,0,0,0,0
119,Spotify,These Third Party Applications may have their own terms and conditions of use and privacy policies and your use of these Third Party Applications will be governed by and subject to such terms and conditions and privacy policies.,0,0,0,0,0,0,0,0,0
120,Spotify,"You understand and agree that Spotify does not endorse and is not responsible or liable for the behavior, features, or content of any Third Party Application or for any transaction you may enter into with the provider of any such Third Party Applications.",0,0,0,0,0,0,0,0,0
121,Spotify,6 User-Generated Content,0,0,0,0,0,0,0,0,0
122,Spotify,"Spotify users may post, upload, and/or contribute (“post”) content to the Service (which may include, for example, pictures, text, messages, information, playlist compilations, and/or other types of content) (“User Content”).",0,0,0,0,0,0,0,0,0
123,Spotify,"For the avoidance of doubt, “User Content” includes any such content posted to the Spotify Support Community as well as any other part of the Spotify Service.",0,0,0,0,0,0,0,0,0
124,Spotify,"You promise that, with respect to any User Content you post on Spotify, (1) you have the right to post such User Content, and (2) such User Content, or its use by Spotify as contemplated by the Agreements, does not violate the Agreements, applicable law, or the intellectual property (including without limitation copyright), publicity, personality, or other rights of others or imply any affiliation with or endorsement of you or your User Content by Spotify or any artist, band, label, entity or individual without express written consent from such individual or entity.",0,0,0,0,0,0,0,0,0
125,Spotify,"In all cases, Spotify reserves the right to remove or disable access to any User Content for any or no reason, including but not limited to, User Content that, in Spotify’s sole discretion, violates the Agreements.",3,0,0,1,0,0,0,0,0
126,Spotify,"Spotify may, but has no obligation to, monitor, review, or edit User Content.",0,0,0,0,0,0,0,0,0
127,Spotify,Spotify may take these actions without prior notification to you or any third party.,0,0,0,0,0,0,0,0,0
128,Spotify,"Removal or disabling of access to User Content shall be at our sole discretion, and we do not promise to remove or disable access to any specific User Content.",0,0,0,0,0,0,0,0,0
129,Spotify,You are solely responsible for all User Content that you post.,0,0,0,0,0,0,0,0,0
130,Spotify,Spotify is not responsible for User Content nor does it endorse any opinion contained in any User Content.,0,0,0,0,0,0,0,0,0
131,Spotify,"YOU AGREE THAT IF ANYONE BRINGS A CLAIM AGAINST SPOTIFY RELATED TO USER CONTENT THAT YOU POST, THEN, TO THE EXTENT PERMISSIBLE UNDER LOCAL LAW, YOU WILL INDEMNIFY AND HOLD SPOTIFY HARMLESS FROM AND AGAINST ALL DAMAGES, LOSSES, AND EXPENSES OF ANY KIND (INCLUDING REASONABLE ATTORNEY FEES AND COSTS) ARISING OUT OF SUCH CLAIM.",0,0,0,0,0,0,0,0,0
132,Spotify,7 Rights you grant us,0,0,0,0,0,0,0,0,0
133,Spotify,"In consideration for the rights granted to you under the Agreements, you grant us the right (1) to allow the Spotify Service to use the processor, bandwidth, and storage hardware on your Device in order to facilitate the operation of the Service, (2) to provide advertising and other information to you, and (3) to allow our business partners to do the same.",0,0,0,0,0,0,0,0,0
134,Spotify,"In any part of the Spotify Service, the Content you view, including its selection and placement, may be influenced by commercial considerations, including agreements with third parties.",0,0,0,0,0,0,0,0,0
135,Spotify,Some Content licensed or provided to Spotify (e.g.,0,0,0,0,0,0,0,0,0
136,Spotify,podcasts) may contain advertising as part of the Content.,0,0,0,0,0,0,0,0,0
137,Spotify,"In such cases, Spotify will make such Content available to you unmodified.",0,0,0,0,0,0,0,0,0
138,Spotify,"If you provide feedback, ideas or suggestions to Spotify in connection with the Spotify Service or Content (“Feedback”), you acknowledge that the Feedback is not confidential and you authorize Spotify to use that Feedback without restriction and without payment to you.",0,0,0,0,0,0,0,0,0
139,Spotify,Feedback is considered a type of User Content.,0,0,0,0,0,0,0,0,0
140,Spotify,"You grant Spotify a non-exclusive, transferable, sub-licensable, royalty-free, perpetual (or, in jurisdictions where this is not permitted, for a term equal to the duration of the Agreements plus twenty (20) years), irrevocable, fully paid, worldwide licence to use, reproduce, make available to the public (e.g.",0,0,0,0,0,0,0,0,0
141,Spotify,"perform or display), publish, translate, modify, create derivative works from, and distribute any of your User Content in connection with the Service through any medium, whether alone or in combination with other content or materials, in any manner and by any means, method or technology, whether now known or hereafter created.",0,0,0,0,0,0,0,0,0
142,Spotify,"Aside from the rights specifically granted herein, you retain ownership of all rights, including intellectual property rights, in the User Content.",0,0,0,0,0,0,0,0,0
143,Spotify,"Where applicable and permitted under applicable law, you also agree to waive any “moral rights” (or the equivalent under applicable law) such as your right to be identified as the author of any User Content, including Feedback, and your right to object to derogatory treatment of such User Content.",0,0,0,0,0,0,0,0,0
144,Spotify,8 User guidelines,0,0,0,0,0,0,0,0,0
145,Spotify,Spotify respects intellectual property rights and expects you to do the same.,0,0,0,0,0,0,0,0,0
146,Spotify,"We’ve established a few ground rules for you to follow when using the Service, to make sure Spotify stays enjoyable for everyone.",0,0,0,0,0,0,0,0,0
147,Spotify,Please follow these rules and encourage other users to do the same.,0,0,0,0,0,0,0,0,0
148,Spotify,The following is not permitted for any reason whatsoever:,0,0,0,0,0,0,0,0,0
149,Spotify,"•	copying, redistributing, reproducing, “ripping”, recording, transferring, performing or displaying to the public, broadcasting, or making available to the public any part of the Spotify Service or the Content, or otherwise making any use of the Spotify Service or the Content which is not expressly permitted under the Agreements or applicable law or which otherwise infringes the intellectual property rights (such as copyright) in the Spotify Service or the Content or any part of it;",0,0,0,0,0,0,0,0,0
150,Spotify,•	using the Spotify Service to import or copy any local files you do not have the legal right to import or copy in this way;,0,0,0,0,0,0,0,0,0
151,Spotify,•	transferring copies of cached Content from an authorized Device to any other Device via any means;,0,0,0,0,0,0,0,0,0
152,Spotify,"•	reverse-engineering, decompiling, disassembling, modifying, or creating derivative works based on the Spotify Service, Content or any part thereof unless permitted by applicable law;",0,0,0,0,0,0,0,0,0
153,Spotify,"•	circumventing any technology used by Spotify, its licensors, or any third party to protect the Content or the Service;",0,0,0,0,0,0,0,0,0
154,Spotify,"•	selling, renting, sublicensing or leasing of any part of the Spotify Service or the Content;",0,0,0,0,0,0,0,0,0
155,Spotify,•	circumventing any territorial restrictions applied by Spotify or it licensors;,0,0,0,0,0,0,0,0,0
156,Spotify,•	artificially increasing play count or otherwise manipulating the Services by using a script or other automated process;,0,0,0,0,0,0,0,0,0
157,Spotify,"•	removing or altering any copyright, trademark, or other intellectual property notices contained on or provided through the Spotify Service (including for the purpose of disguising or changing any indications of the ownership or source of any Content);",0,0,0,0,0,0,0,0,0
158,Spotify,•	providing your password to any other person or using any other person’s username and password;,0,0,0,0,0,0,0,0,0
159,Spotify,"•	“crawling” the Spotify Service or otherwise using any automated means (including bots, scrapers, and spiders) to collect information from Spotify; or",0,0,0,0,0,0,0,0,0
160,Spotify,"•	selling a user account or playlist, or otherwise accepting any compensation, financial or otherwise, to influence the name of an account or playlist or the content included on an account or playlist.",0,0,0,0,0,0,0,0,0
161,Spotify,"Please respect Spotify, the owners of the Content, and other users of the Spotify Service.",0,0,0,0,0,0,0,0,0
162,Spotify,"Don’t engage in any activity, post any User Content, or register and/or use a username, which is or includes material that:",0,0,0,0,0,0,0,0,0
163,Spotify,"•	is offensive, abusive, defamatory, pornographic, threatening, or obscene;",0,0,0,0,0,0,0,0,0
164,Spotify,"•	is illegal, or intended to promote or commit an illegal act of any kind, including but not limited to violations of intellectual property rights, privacy rights, or proprietary rights of Spotify or a third party;",0,0,0,0,0,0,0,0,0
165,Spotify,•	includes your password or purposely includes any other user’s password or purposely includes personal data of third parties or is intended to solicit such personal data;,0,0,0,0,0,0,0,0,0
166,Spotify,"•	includes malicious content such as malware, Trojan horses, or viruses, or otherwise interferes with any user’s access to the Service;",0,0,0,0,0,0,0,0,0
167,Spotify,•	is intended to or does harass or bully other users;,0,0,0,0,0,0,0,0,0
168,Spotify,"•	impersonates or misrepresents your affiliation with another user, person, or entity, or is otherwise fraudulent, false, deceptive, or misleading;",0,0,0,0,0,0,0,0,0
169,Spotify,•	uses automated means to artificially promote content;,0,0,0,0,0,0,0,0,0
170,Spotify,"•	involves the transmission of unsolicited mass mailings or other forms of spam (“spam”), junk mail, chain letters, or similar, including through the Spotify inbox;",0,0,0,0,0,0,0,0,0
171,Spotify,"•	involves commercial or sales activities, such as advertising, promotions, contests, sweepstakes, or pyramid schemes, that are not expressly authorized by Spotify;",0,0,0,0,0,0,0,0,0
172,Spotify,"•	links to, references, or otherwise promotes commercial products or services, except as expressly authorized by Spotify;",0,0,0,0,0,0,0,0,0
173,Spotify,"•	interferes with or in any way disrupts the Spotify Service, tampers with, breaches, or attempts to probe, scan, or test for vulnerabilities in the Service or Spotify’s computer systems, network, usage rules, or any of Spotify’s security components, authentication measures or any other protection measures applicable to the Service, the Content or any part thereof; or",0,0,0,0,0,0,0,0,0
174,Spotify,"•	conflicts with the Agreements, as determined by Spotify.",0,0,0,0,0,0,0,0,0
175,Spotify,You acknowledge and agree that posting any such User Content may result in immediate termination or suspension of your Spotify account.,2,0,0,0,0,0,0,1,0
176,Spotify,You also agree that Spotify may also reclaim your username for any reason.,2,0,0,1,0,0,0,0,0
177,Spotify,Please be thoughtful about how you use the Spotify Service and what you share.,0,0,0,0,0,0,0,0,0
178,Spotify,"The Spotify Service includes social and interactive features, including the ability to post User Content, share content, and make certain information about you public.",0,0,0,0,0,0,0,0,0
179,Spotify,"Remember that shared or publicly available information may be used and re-shared by other users on Spotify or across the web, so please use Spotify carefully and be mindful of your account settings.",0,0,0,0,0,0,0,0,0
180,Spotify,Spotify has no responsibility for your choices to post material on the Service.,0,0,0,0,0,0,0,0,0
181,Spotify,"Your password protects your user account, and you are solely responsible for keeping your password confidential and secure.",0,0,0,0,0,0,0,0,0
182,Spotify,You understand that you are responsible for all use of your username and password on the Service.,0,0,0,0,0,0,0,0,0
183,Spotify,"If your username or password is lost or stolen, or if you believe there has been unauthorized access to your account by third parties, please notify us immediately and change your password as soon as possible.",0,0,0,0,0,0,0,0,0
184,Spotify,9 Infringement and reporting User Content,0,0,0,0,0,0,0,0,0
185,Spotify,Spotify respects the rights of intellectual property owners.,0,0,0,0,0,0,0,0,0
186,Spotify,"If you believe that any Content infringes your intellectual property rights or other rights, see Spotify’s copyright policy.",0,0,0,0,0,0,0,0,0
187,Spotify,"If Spotify is notified by a copyright holder that any Content infringes a copyright, Spotify may in its absolute discretion take actions without prior notification to the provider of that Content.",0,0,0,0,0,0,0,0,0
188,Spotify,"If the provider believes that the content is not infringing, the provider may submit a counter-notification to Spotify with a request to restore the removed content.",0,0,0,0,0,0,0,0,0
189,Spotify,"If you believe that any Content does not comply with the User guidelines, please fill out our notice form.",0,0,0,0,0,0,0,0,0
190,Spotify,10 Service limitations and modifications,0,0,0,0,0,0,0,0,0
191,Spotify,"<ter3><ltd2>To the extent permissible under applicable law, Spotify reserves the right, periodically and at any time, to modify or discontinue, temporarily or permanently, functions and features of the Spotify Service, with or without notice, all without liability to you, except where prohibited by law, for any interruption, modification, or discontinuation of the Spotify Service or any function or feature thereof.</ltd2></ter3>",2,0,1,0,0,0,0,0,0
192,Spotify,"<ch2>Spotify and/or the owners of any Content may, from time to time, remove any such Content without notice to the extent permitted by applicable law.</ch2>",2,0,0,1,0,0,0,0,0
193,Spotify,Spotify will make reasonable efforts to keep the Spotify Service operational.,0,0,0,0,0,0,0,0,0
194,Spotify,"However, certain technical difficulties or maintenance may, from time to time, result in temporary interruptions.",0,0,0,0,0,0,0,0,0
195,Spotify,"Notwithstanding the foregoing, if you have prepaid fees for Paid Subscriptions that Spotify permanently discontinues prior to the end of the Pre-Paid Period (defined in the Payments, cancellations, and cooling off section), Spotify will refund you the prepaid fees for the Pre-Paid Period after such discontinuation.",0,0,0,0,0,0,0,0,0
196,Spotify,"You understand, agree, and accept that Spotify has no obligation to maintain, support, upgrade, or update the Service, or to provide all or any specific content through the Service.",0,0,0,0,0,0,0,0,0
197,Spotify,This section will be enforced to the extent permissible by applicable law.,0,0,0,0,0,0,0,0,0
198,Spotify,11 Brand Accounts,0,0,0,0,0,0,0,0,0
199,Spotify,"If you establish a Spotify account on behalf of a company, organization, entity, or brand (a “Brand”, and such account a “Brand Account”), the terms “you” and “your”, as used throughout the Agreements, apply to both you and the Brand, as applicable.",0,0,0,0,0,0,0,0,0
200,Spotify,"If you open a Brand Account, you represent and warrant that you are authorized to grant all permissions and licences provided in the Agreements and to bind the Brand to the Agreements.",0,0,0,0,0,0,0,0,0
201,Spotify,11.1 Following,0,0,0,0,0,0,0,0,0
202,Spotify,"The Brand may only follow users who first follow the Brand; and the Brand may not take any action that implies an endorsement or relationship between the Brand and the followed user, unless the Brand has independently obtained the rights to imply such an endorsement.",0,0,0,0,0,0,0,0,0
203,Spotify,"Upon Spotify’s request, in its sole discretion, a Brand must cease following a user.",0,0,0,0,0,0,0,0,0
204,Spotify,11.2 Listening,0,0,0,0,0,0,0,0,0
205,Spotify,The Brand may not stream media.,0,0,0,0,0,0,0,0,0
206,Spotify,11.3 Messaging,0,0,0,0,0,0,0,0,0
207,Spotify,The Brand may only send messages to users who first send messages to the Brand.,0,0,0,0,0,0,0,0,0
208,Spotify,11.4 Brand Playlists and Sharing,0,0,0,0,0,0,0,0,0
209,Spotify,"The Brand may not create or share any Spotify playlists, whether within the Spotify Service or elsewhere, that imply an endorsement or relationship between the Brand and any artist or any other party, unless the Brand has independently obtained the rights to imply such an endorsement.",0,0,0,0,0,0,0,0,0
210,Spotify,Brands may wish to consult Spotify’s Brand Playlist Guidelines.,0,0,0,0,0,0,0,0,0
211,Spotify,12 Spotify Support Community,0,0,0,0,0,0,0,0,0
212,Spotify,"The Spotify Support Community is a place for discussions and exchange of information, tips, and other materials related to the Spotify Service.",0,0,0,0,0,0,0,0,0
213,Spotify,"In order to use the Spotify Support Community, you must (1) have an existing Spotify account; and (2) authenticate your Spotify account for use on the Support Community (a “Spotify Support Account”).",0,0,0,0,0,0,0,0,0
